custateomer,state,gender,education,custateomer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount,gender_column
NY56352,Oregon,F,Bachelor,280391.67,23220,74.0,1/0/00,Personal Auto,Four-Door Car,251,F
EA27048,California,F,High School or Below,864650.41,64125,108.0,1/0/00,Personal Auto,SUV,369,F
UT38865,Oregon,F,College,742587.06,58042,62.0,1/0/00,Corporate Auto,Four-Door Car,161,F
QC89139,Oregon,F,High School or Below,452873.74,90034,112.0,1/0/00,Corporate Auto,SUV,537,F
LA14484,Nevada,M,High School or Below,222707.28,27972,61.0,1/0/00,Special Auto,Four-Door Car,292,M
HN57556,California,F,High School or Below,729294.88,0,65.0,1/0/00,Personal Auto,Four-Door Car,312,F
CV31235,Arizona,M,Bachelor,318435.52,50989,80.0,1/0/00,Corporate Auto,Four-Door Car,255,M
WR45726,Arizona,F,Bachelor,1131520.37,11885,101.0,1/0/00,Special Auto,Four-Door Car,484,F
LB25094,California,F,Bachelor,253070.51,89451,63.0,1/0/00,Special Auto,Four-Door Car,61,F
KW56110,Oregon,M,Bachelor,1836155.53,0,182.0,1/0/00,Personal Auto,Luxury,1310,M
XO36233,Washington,M,Bachelor,864153.0,78904,109.0,1/0/00,Personal Auto,SUV,250,M
ZX86243,Arizona,M,Doctor,327853.19,70247,83.0,1/1/00,Personal Auto,Four-Door Car,141,M
DW29763,Arizona,M,High School or Below,527198.21,32653,67.0,1/0/00,Personal Auto,Two-Door Car,321,M
CT83377,Washington,M,High School or Below,376363.77,93595,97.0,1/4/00,Special Auto,Four-Door Car,49,M
OQ90898,California,M,Master,1395556.96,90279,115.0,1/0/00,Personal Auto,SUV,372,M
GO77248,Oregon,F,College,500152.75,0,72.0,1/0/00,Personal Auto,Four-Door Car,542,F
QW33258,California,M,Bachelor,708283.04,53310,189.0,1/3/00,Personal Auto,Luxury,1360,M
OU79745,California,M,College,761948.28,0,105.0,1/0/00,Personal Auto,Four-Door Car,504,M
VZ79886,Oregon,F,Bachelor,1255088.2,22234,160.0,1/0/00,Personal Auto,SUV,768,F
FI92440,Washington,F,High School or Below,3219660.04,91375,99.0,1/0/00,Personal Auto,Two-Door Car,72,F
YG85980,Nevada,F,High School or Below,679377.41,22250,86.0,1/0/00,Personal Auto,Two-Door Car,720,F
QM74621,Oregon,M,Bachelor,527231.97,0,80.0,1/0/00,Personal Auto,Four-Door Car,576,M
EI71732,Oregon,F,Doctor,626534.33,0,84.0,1/1/00,Personal Auto,Four-Door Car,481,F
VN79010,California,F,High School or Below,854758.61,51179,71.0,1/0/00,Corporate Auto,Four-Door Car,466,F
FI61723,California,M,Bachelor,278742.37,38667,72.0,1/0/00,Personal Auto,Four-Door Car,159,M
OH55411,California,F,Master,462680.11,79487,114.0,1/0/00,Corporate Auto,SUV,547,F
TF10720,Nevada,F,Doctor,866336.4,67763,107.0,1/2/00,Personal Auto,Four-Door Car,41,F
NW30838,Nevada,M,High School or Below,387222.22,0,62.0,1/2/00,Corporate Auto,Four-Door Car,503,M
CB58476,Oregon,F,College,517081.15,0,71.0,1/0/00,Corporate Auto,Four-Door Car,859,F
WI69346,California,F,Master,896028.02,71943,112.0,1/0/00,Corporate Auto,SUV,305,F
FS76657,Oregon,F,College,547183.43,53526,68.0,1/0/00,Personal Auto,Four-Door Car,278,F
YX89016,Oregon,M,College,3493100.17,35005,295.0,1/0/00,Personal Auto,Luxury,1416,M
PK28821,California,M,College,262039.23,24721,67.0,1/0/00,Personal Auto,Four-Door Car,139,M
MB51200,Washington,M,College,1906949.95,0,102.0,1/2/00,Personal Auto,Four-Door Car,734,M
XG44587,Arizona,M,Master,575744.23,88997,72.0,1/0/00,Personal Auto,Four-Door Car,174,M
FG91922,Arizona,M,Master,4022401.36,48587,111.0,1/0/00,Personal Auto,SUV,532,M
OM99303,Arizona,F,High School or Below,270148.83,76310,67.0,1/0/00,Personal Auto,Two-Door Car,321,F
RV67546,California,M,Bachelor,371243.05,73205,92.0,1/0/00,Personal Auto,Four-Door Car,37,M
UJ79253,Oregon,F,College,2185084.0,51056,78.0,1/0/00,Personal Auto,Four-Door Car,95,F
PN98247,California,M,College,784016.58,58414,210.0,1/2/00,Personal Auto,Luxury,1008,M
IB67546,California,F,Bachelor,823703.79,23940,107.0,1/0/00,Personal Auto,SUV,513,F
OE19087,California,F,High School or Below,224347.39,0,62.0,1/0/00,Personal Auto,Four-Door Car,446,F
CM95716,California,M,Bachelor,843446.41,44216,71.0,1/0/00,Personal Auto,Four-Door Car,72,M
MW62634,California,M,High School or Below,222707.28,27972,61.0,1/0/00,Corporate Auto,Four-Door Car,292,M
QW67581,Arizona,F,High School or Below,517002.6,0,69.0,1/0/00,Personal Auto,Four-Door Car,331,F
SN16059,California,F,Master,264144.61,29305,66.0,1/0/00,Personal Auto,Four-Door Car,475,F
OE51254,California,F,College,279068.3,53882,69.0,1/0/00,Personal Auto,Four-Door Car,331,F
RM42344,Oregon,M,College,274512.98,91757,69.0,1/1/00,Personal Auto,Four-Door Car,331,M
GB35238,California,F,Bachelor,757953.27,33906,64.0,1/0/00,Personal Auto,Two-Door Car,401,F
ML82674,Oregon,M,Bachelor,1097878.03,68158,139.0,1/1/00,Personal Auto,SUV,253,M
EI85244,California,M,College,825506.01,0,134.0,1/3/00,Personal Auto,SUV,643,M
DE28132,Oregon,M,College,474773.46,42165,123.0,1/0/00,Corporate Auto,SUV,799,M
TV25678,Washington,M,College,354090.43,0,101.0,1/0/00,Personal Auto,SUV,727,M
TY26512,California,M,Doctor,343613.43,30817,88.0,1/0/00,Personal Auto,Four-Door Car,91,M
OB69153,California,M,Bachelor,258218.53,68074,65.0,1/0/00,Personal Auto,Four-Door Car,27,M
QZ77637,Washington,F,College,1166509.78,84978,35353.0,1/1/00,Corporate Auto,Four-Door Car,166,F
XN41715,California,F,Master,739628.37,71135,92.0,1/1/00,Personal Auto,Four-Door Car,270,F
QR15857,California,F,College,433079.98,0,61.0,1/0/00,Personal Auto,Two-Door Car,292,F
FL69363,Oregon,M,Master,907576.82,37722,116.0,1/0/00,Personal Auto,Luxury,158,M
IS30295,Arizona,F,Bachelor,1463545.16,0,139.0,1/0/00,Personal Auto,SUV,667,F
WA25797,Washington,Male,High School or Below,856476.82,95697,107.0,1/0/00,Personal Auto,Luxury,178,M
NL59519,California,F,College,1156568.75,64642,96.0,1/0/00,Personal Auto,Four-Door Car,404,F
ZU93025,Oregon,F,College,277104.5,50071,71.0,1/0/00,Personal Auto,Two-Door Car,18,F
DK94262,Oregon,M,High School or Below,850712.88,46754,106.0,1/1/00,Personal Auto,SUV,513,M
UQ30615,California,M,College,758211.38,64801,64.0,1/0/00,Corporate Auto,Four-Door Car,268,M
OR40060,Arizona,M,Bachelor,332309.25,70410,83.0,1/0/00,Personal Auto,Four-Door Car,131,M
DK32872,Nevada,F,High School or Below,523433.17,66957,131.0,1/1/00,Personal Auto,SUV,628,F
FA46418,Nevada,F,High School or Below,2470959.96,24213,78.0,1/1/00,Personal Auto,Four-Door Car,374,F
ER19995,Washington,F,College,1778627.78,99790,6464.0,1/0/00,Personal Auto,Four-Door Car,178,F
KI75855,Oregon,M,Master,255122.67,79751,63.0,1/0/00,Personal Auto,Two-Door Car,392,M
ND41876,Arizona,M,High School or Below,724771.37,86122,182.0,1/1/00,Personal Auto,Luxury,873,M
PN21042,Arizona,M,Bachelor,453884.78,82297,116.0,1/0/00,Personal Auto,Luxury,0,M
GJ43254,Washington,M,College,3164210.46,89057,98.0,1/0/00,Corporate Auto,Two-Door Car,187,M
AL46984,California,M,High School or Below,873042.2,43259,73.0,1/0/00,Personal Auto,Four-Door Car,350,M
JP58047,Oregon,M,College,833273.06,0,79.0,1/0/00,Personal Auto,Four-Door Car,379,M
ZE85014,California,M,College,235774.7,25064,62.0,1/0/00,Personal Auto,Four-Door Car,297,M
KU88219,Arizona,M,Master,463716.4,25816,119.0,1/0/00,Personal Auto,Luxury,571,M
UU98729,California,M,Bachelor,535719.27,0,73.0,1/0/00,Personal Auto,Four-Door Car,350,M
WS82822,Oregon,F,College,539197.1,41662,69.0,1/0/00,Corporate Auto,Four-Door Car,217,F
YB49933,Arizona,M,Bachelor,369414.05,96170,92.0,1/0/00,Personal Auto,Four-Door Car,441,M
XC16387,Arizona,F,High School or Below,504041.24,46072,64.0,1/0/00,Personal Auto,Four-Door Car,25,F
XJ96748,Arizona,F,High School or Below,2749542.19,37931,99.0,1/0/00,Personal Auto,Four-Door Car,475,F
TM98684,Oregon,M,High School or Below,484228.5,35127,62.0,1/0/00,Personal Auto,Four-Door Car,297,M
AY18433,Washington,F,High School or Below,2738281.89,45473,76.0,1/0/00,Special Auto,Two-Door Car,188,F
DM74502,Nevada,F,College,522710.19,93087,131.0,1/3/00,Corporate Auto,Luxury,628,F
FT56968,Arizona,M,High School or Below,259009.6,22398,67.0,1/2/00,Personal Auto,Four-Door Car,321,M
OX36896,California,M,High School or Below,1053607.8,92983,87.0,1/1/00,Corporate Auto,Four-Door Car,153,M
BZ65376,Arizona,M,Bachelor,858127.87,27689,239.0,1/2/00,Personal Auto,Luxury,2893,M
LN34660,California,F,College,946311.33,69654,118.0,1/0/00,Corporate Auto,SUV,629,F
JC29295,California,F,Bachelor,1344100.64,80744,111.0,1/0/00,Personal Auto,SUV,361,F
KJ87930,California,F,Bachelor,388650.48,0,112.0,1/0/00,Corporate Auto,SUV,1185,F
XT36360,Arizona,F,High School or Below,678489.37,0,64.0,1/1/00,Personal Auto,Four-Door Car,460,F
IX35050,Arizona,M,Bachelor,2359468.02,76358,66.0,1/0/00,Special Auto,Four-Door Car,86,M
UN97379,Oregon,M,Bachelor,253862.63,18608,71.0,1/0/00,Corporate Auto,Four-Door Car,340,M
MR57294,California,M,High School or Below,563994.2,73168,70.0,1/0/00,Personal Auto,Four-Door Car,425,M
UG79499,Washington,M,Bachelor,1168137.43,70930,99.0,1/0/00,Personal Auto,Four-Door Car,190,M
UA50747,Washington,F,High School or Below,2599775.0,62262,72.0,1/0/00,Corporate Auto,Four-Door Car,193,F
GL20444,Nevada,F,Master,1377836.93,91474,113.0,1/0/00,Corporate Auto,Two-Door Car,24,F
SP58110,California,F,Bachelor,492318.17,61469,63.0,1/5/00,Personal Auto,Four-Door Car,302,F
XM91635,Arizona,F,High School or Below,227233.54,16618,62.0,1/0/00,Special Auto,Four-Door Car,219,F
TV82603,California,F,Bachelor,1489539.8,48081,188.0,1/0/00,Personal Auto,Luxury,881,F
BB82067,Oregon,M,Doctor,975604.5,67632,121.0,1/0/00,Personal Auto,Luxury,26,M
JP94676,Oregon,F,Bachelor,942297.41,34115,119.0,1/0/00,Personal Auto,SUV,466,F
VU53417,Arizona,M,High School or Below,383735.76,23051,99.0,1/0/00,Personal Auto,Two-Door Car,475,M
IW54795,California,M,College,1095213.19,23748,99.0,1/0/00,Personal Auto,Four-Door Car,607,M
RN78170,Arizona,F,College,815913.66,40589,69.0,1/0/00,Corporate Auto,Four-Door Car,331,F
IX55883,California,F,College,1948049.98,50809,83.0,1/0/00,Personal Auto,Four-Door Car,290,F
XM72420,Arizona,F,High School or Below,391936.67,66676,97.0,1/0/00,Personal Auto,Four-Door Car,558,F
GC15104,Nevada,F,Bachelor,798514.21,52339,70.0,1/3/00,Corporate Auto,Four-Door Car,336,F
RX13282,Oregon,M,Bachelor,1216874.49,14973,115.0,1/0/00,Personal Auto,SUV,828,M
QA85890,Arizona,F,High School or Below,584932.15,0,83.0,1/0/00,Corporate Auto,Four-Door Car,540,F
IR62668,Arizona,F,Bachelor,508583.66,31546,65.0,1/0/00,Personal Auto,Four-Door Car,100,F
AL96740,California,F,College,290393.98,67763,73.0,1/1/00,Personal Auto,Four-Door Car,59,F
SS48498,Washington,F,College,627317.34,20836,79.0,1/0/00,Corporate Auto,Four-Door Car,193,F
PE39479,Washington,M,College,1832141.9,88592,76.0,1/0/00,Corporate Auto,Four-Door Car,199,M
JH62891,Oregon,F,College,517870.42,66943,65.0,1/1/00,Special Auto,Four-Door Car,53,F
FI20423,Arizona,F,High School or Below,1402435.84,81872,115.0,1/0/00,Special Auto,Four-Door Car,256,F
PM13394,Washington,F,College,530943.59,22404,70.0,1/1/00,Personal Auto,Four-Door Car,211,F
YV67971,California,F,High School or Below,494980.38,21342,62.0,1/0/00,Personal Auto,Four-Door Car,74,F
QD31377,California,M,Bachelor,859566.53,34621,108.0,1/1/00,Corporate Auto,SUV,621,M
YG10247,Oregon,M,College,2295189.2,62396,64.0,1/0/00,Personal Auto,Four-Door Car,307,M
FE73696,Oregon,M,High School or Below,379213.03,97212,93.0,1/0/00,Personal Auto,Two-Door Car,360,M
SW19699,Arizona,F,Bachelor,275574.8,49648,70.0,1/0/00,Personal Auto,Four-Door Car,65,F
QJ40732,Arizona,M,College,488033.96,97984,61.0,1/1/00,Personal Auto,Four-Door Car,407,M
HM76207,California,F,College,905190.53,26308,114.0,1/0/00,Corporate Auto,SUV,547,F
NT59303,Oregon,F,College,1011544.62,63528,256.0,1/0/00,Personal Auto,Luxury,1228,F
PU41393,Nevada,M,College,826907.54,20225,114.0,1/1/00,Special Auto,SUV,547,M
QO86948,Nevada,M,High School or Below,807165.3,0,112.0,1/0/00,Personal Auto,SUV,806,M
QN10888,Oregon,F,High School or Below,772699.36,87620,64.0,1/0/00,Personal Auto,Four-Door Car,24,F
VY19543,California,F,Bachelor,831113.59,0,72.0,1/0/00,Corporate Auto,Four-Door Car,311,F
XC15133,Nevada,F,Master,257402.04,34990,65.0,1/0/00,Personal Auto,Four-Door Car,42,F
ST43550,Oregon,M,Bachelor,572732.71,99934,71.0,1/0/00,Special Auto,Four-Door Car,460,M
FX36546,Washington,M,Master,367914.21,60804,92.0,1/0/00,Personal Auto,Four-Door Car,213,M
JX68983,Oregon,M,Bachelor,274451.96,94648,69.0,1/0/00,Personal Auto,Four-Door Car,331,M
HX78576,California,F,High School or Below,563674.03,24516,71.0,1/0/00,Personal Auto,Four-Door Car,300,F
ZQ11381,Arizona,M,Bachelor,1687038.82,61063,85.0,1/0/00,Personal Auto,Four-Door Car,262,M
ON39271,California,M,Master,273800.2,0,74.0,1/0/00,Personal Auto,Two-Door Car,263,M
SB18278,Oregon,M,Bachelor,464470.05,0,64.0,1/0/00,Corporate Auto,Four-Door Car,307,M
ZT30559,California,F,High School or Below,474668.65,15169,63.0,1/0/00,Personal Auto,Four-Door Car,302,F
XI41106,Arizona,M,College,1687432.82,55390,71.0,1/0/00,Corporate Auto,Two-Door Car,256,M
ZS88847,Oregon,F,Bachelor,238760.61,27592,62.0,1/0/00,Personal Auto,Four-Door Car,297,F
RU49126,Washington,F,College,446533.57,61846,112.0,1/0/00,Personal Auto,SUV,215,F
KR62797,Arizona,F,High School or Below,459162.59,83297,113.0,1/0/00,Personal Auto,SUV,542,F
ZJ73220,Arizona,F,College,1309258.58,0,188.0,1/0/00,Special Auto,Luxury,1353,F
FY62633,Oregon,M,Bachelor,911226.66,0,90.0,1/0/00,Personal Auto,Four-Door Car,432,M
CU36986,California,F,High School or Below,416516.66,55897,104.0,1/0/00,Personal Auto,Four-Door Car,499,F
WZ53904,Arizona,M,Bachelor,265998.06,21297,71.0,1/0/00,Personal Auto,Four-Door Car,45,M
AA71604,Arizona,F,Master,1198659.21,87560,98.0,1/1/00,Personal Auto,Two-Door Car,470,F
TD10493,Oregon,F,High School or Below,289873.27,0,96.0,1/4/00,Personal Auto,Four-Door Car,691,F
LY97989,Oregon,F,Bachelor,289424.39,0,85.0,1/0/00,Personal Auto,Four-Door Car,408,F
VX39856,Arizona,F,Doctor,350045.44,89398,86.0,1/0/00,Personal Auto,Four-Door Car,82,F
TP51897,California,F,College,262180.86,36843,68.0,1/3/00,Corporate Auto,Four-Door Car,357,F
QQ89253,Oregon,F,College,1022180.5,0,134.0,1/0/00,Personal Auto,SUV,643,F
EI91403,California,M,High School or Below,257827.1,34946,65.0,1/0/00,Personal Auto,Two-Door Car,420,M
QG15435,Arizona,F,College,624259.57,75680,78.0,1/0/00,Personal Auto,Four-Door Car,136,F
FZ55002,Nevada,F,Doctor,522028.1,0,69.0,1/0/00,Personal Auto,Four-Door Car,331,F
HX77930,Washington,F,College,313643.21,49532,79.0,1/1/00,Personal Auto,Four-Door Car,220,F
UN37063,Arizona,M,Bachelor,452536.58,10269,65.0,1/0/00,Personal Auto,Two-Door Car,170,M
VB87946,California,M,College,497035.73,49714,63.0,1/3/00,Personal Auto,Four-Door Car,266,M
AB60627,California,M,High School or Below,1546778.9,77517,129.0,1/0/00,Corporate Auto,SUV,98,M
TA34903,Oregon,M,High School or Below,583889.92,81082,73.0,1/0/00,Personal Auto,Four-Door Car,281,M
AQ51368,Oregon,F,Bachelor,1065688.2,72540,88.0,1/0/00,Corporate Auto,Two-Door Car,631,F
NZ26102,Oregon,F,High School or Below,228961.87,0,65.0,1/0/00,Personal Auto,Four-Door Car,468,F
GB45753,California,M,High School or Below,543980.42,61546,68.0,1/0/00,Corporate Auto,Two-Door Car,29,M
BV79904,California,F,Master,795615.01,44818,67.0,1/1/00,Personal Auto,Two-Door Car,136,F
OB49075,Arizona,M,Bachelor,445811.34,17622,65.0,1/1/00,Personal Auto,Four-Door Car,312,M
DS97676,Oregon,F,College,255505.15,0,72.0,1/0/00,Personal Auto,Four-Door Car,518,F
JO63462,California,M,Bachelor,330799.9,79797,84.0,1/0/00,Corporate Auto,Two-Door Car,31,M
NJ10602,Washington,F,College,845905.32,92717,70.0,1/0/00,Personal Auto,Two-Door Car,224,F
RS24501,Oregon,F,College,1335012.09,28919,173.0,1/0/00,Personal Auto,SUV,830,F
VT78274,Arizona,M,College,493122.13,0,68.0,1/0/00,Personal Auto,Four-Door Car,480,M
SU56153,Nevada,M,Bachelor,777683.52,63568,65.0,1/0/00,Corporate Auto,Two-Door Car,390,M
MN20737,Nevada,F,College,255367.22,73935,64.0,1/1/00,Corporate Auto,Four-Door Car,72,F
KL43114,Arizona,F,High School or Below,487646.97,0,66.0,1/0/00,Corporate Auto,Two-Door Car,316,F
YQ15567,Oregon,F,Bachelor,903430.58,18846,115.0,1/0/00,Personal Auto,SUV,552,F
TR88637,Arizona,F,High School or Below,810591.08,38893,103.0,1/0/00,Personal Auto,SUV,41,F
TC88986,Oregon,M,High School or Below,561968.91,0,153.0,1/0/00,Special Auto,SUV,1027,M
XX88577,California,M,Bachelor,1572713.06,84824,196.0,1/0/00,Corporate Auto,SUV,319,M
NE49052,California,F,High School or Below,661801.64,20068,86.0,1/0/00,Corporate Auto,Four-Door Car,411,F
KX17826,Oregon,M,Doctor,467004.8,0,125.0,1/0/00,Corporate Auto,SUV,600,M
CC91503,Arizona,F,High School or Below,1016936.98,0,135.0,1/0/00,Personal Auto,Luxury,648,F
WH32183,California,M,Bachelor,832307.4,97245,70.0,1/0/00,Personal Auto,Four-Door Car,4,M
ES90681,California,F,College,241776.0,51808,61.0,1/1/00,Personal Auto,Four-Door Car,351,F
DW96592,California,M,Bachelor,804487.24,71391,67.0,1/0/00,Personal Auto,Four-Door Car,284,M
MT23134,Oregon,M,High School or Below,532572.45,0,73.0,1/0/00,Personal Auto,Two-Door Car,496,M
BM69081,Arizona,M,Bachelor,694752.4,0,100.0,1/0/00,Personal Auto,SUV,925,M
MB90871,Oregon,F,College,584741.52,23496,77.0,1/0/00,Special Auto,Four-Door Car,13,F
GT62080,Washington,M,High School or Below,unknown,55561,63.0,1/0/00,Personal Auto,Four-Door Car,227,M
QL77686,Nevada,F,College,472478.61,23986,119.0,1/0/00,Corporate Auto,SUV,463,F
ON77827,Arizona,F,Master,279022.8,22974,71.0,1/0/00,Personal Auto,Four-Door Car,180,F
KP18988,Oregon,F,High School or Below,2153133.28,0,101.0,1/0/00,Personal Auto,Four-Door Car,484,F
TI92884,Arizona,M,Bachelor,1262283.27,61844,106.0,1/0/00,Personal Auto,Luxury,508,M
JH73503,Arizona,M,Doctor,2017196.15,24804,73.0,1/0/00,Personal Auto,Two-Door Car,350,M
YE97964,California,F,Bachelor,1646436.59,27760,104.0,1/0/00,Personal Auto,SUV,302,F
VA30351,Oregon,F,High School or Below,559538.99,74454,71.0,1/0/00,Personal Auto,Four-Door Car,340,F
PV55726,Oregon,F,Master,417068.73,29462,107.0,1/1/00,Personal Auto,SUV,513,F
UC88305,Arizona,F,College,266544.71,52266,68.0,1/0/00,Corporate Auto,Two-Door Car,141,F
TS53809,Oregon,M,Bachelor,709891.41,0,70.0,1/0/00,Personal Auto,Two-Door Car,349,M
ZV32120,California,M,Doctor,397134.51,23599,103.0,1/0/00,Corporate Auto,SUV,494,M
FB80807,Oregon,M,Bachelor,552821.28,36088,72.0,1/0/00,Personal Auto,Four-Door Car,345,M
AS55677,California,F,High School or Below,833899.58,70534,104.0,1/0/00,Personal Auto,Four-Door Car,54,F
WA15684,Oregon,M,College,3844585.59,27398,125.0,1/1/00,Personal Auto,SUV,600,M
SA50567,Nevada,M,Bachelor,544855.52,85296,68.0,1/0/00,Personal Auto,Four-Door Car,342,M
KJ31611,Arizona,M,High School or Below,1080806.6,31063,92.0,1/0/00,Personal Auto,Four-Door Car,441,M
VL37375,California,M,Bachelor,618509.65,0,92.0,1/0/00,Personal Auto,Two-Door Car,1027,M
KN21017,Nevada,M,High School or Below,320822.59,52367,81.0,1/0/00,Personal Auto,Four-Door Car,275,M
PX44289,Arizona,M,College,548010.41,58651,71.0,1/0/00,Personal Auto,Four-Door Car,472,M
AM97901,Nevada,F,College,2298615.39,84831,192.0,1/0/00,Special Auto,Luxury,1336,F
RE42925,Oregon,M,Bachelor,1310792.59,49088,114.0,1/1/00,Corporate Auto,SUV,547,M
TR81766,California,F,College,746292.63,70263,93.0,1/0/00,Corporate Auto,Two-Door Car,7,F
CH85057,Oregon,F,Doctor,1146399.1,45354,285.0,1/0/00,Personal Auto,Luxury,540,F
UP71482,Arizona,M,High School or Below,723613.25,0,63.0,1/0/00,Personal Auto,Four-Door Car,383,M
EG40670,California,F,Bachelor,623268.79,28334,83.0,1/0/00,Special Auto,Four-Door Car,537,F
HV83672,Oregon,F,Bachelor,2839332.99,38772,90.0,1/0/00,Personal Auto,Four-Door Car,321,F
MG10140,Oregon,F,College,374675.16,41479,94.0,1/1/00,Personal Auto,Two-Door Car,19,F
TC44716,California,M,Bachelor,2156933.73,23909,119.0,1/0/00,Personal Auto,SUV,571,M
QO65264,California,M,College,501208.37,48328,63.0,1/0/00,Personal Auto,Two-Door Car,108,M
EB66698,California,M,High School or Below,337185.84,86689,85.0,1/0/00,Corporate Auto,Two-Door Car,408,M
OT52034,California,M,Bachelor,386477.68,24204,99.0,1/1/00,Personal Auto,Four-Door Car,707,M
CH85444,Oregon,M,College,414571.19,25943,110.0,1/0/00,Corporate Auto,Two-Door Car,1067,M
PU85769,California,M,High School or Below,515607.27,0,73.0,1/0/00,Personal Auto,Four-Door Car,807,M
UI73201,California,M,College,366737.5,62375,92.0,1/0/00,Personal Auto,Two-Door Car,618,M
SL50592,California,F,High School or Below,783568.35,0,71.0,1/0/00,Corporate Auto,Four-Door Car,404,F
XP11075,Arizona,M,Bachelor,1456726.84,0,148.0,1/0/00,Personal Auto,SUV,710,M
SI31236,Oregon,M,Bachelor,1017133.9,70200,65.0,1/0/00,Corporate Auto,Four-Door Car,312,M
JN26745,Nevada,F,Bachelor,413577.52,0,112.0,1/0/00,Special Auto,Four-Door Car,707,F
VK48036,Oregon,F,College,551149.11,79027,70.0,1/0/00,Corporate Auto,Four-Door Car,336,F
JX76668,Washington,F,High School or Below,1131424.39,62935,141.0,1/0/00,Personal Auto,Luxury,232,F
DS45802,California,F,High School or Below,541461.73,26893,68.0,1/0/00,Personal Auto,Four-Door Car,68,F
OA96690,Oregon,F,High School or Below,742159.35,47406,94.0,1/1/00,Personal Auto,Four-Door Car,287,F
EM27919,California,M,Bachelor,445811.34,17622,65.0,1/1/00,Personal Auto,Four-Door Car,312,M
QO41043,Oregon,F,College,1447612.49,27572,124.0,1/0/00,Corporate Auto,SUV,595,F
OV50124,Oregon,F,College,493688.84,0,72.0,1/2/00,Personal Auto,Two-Door Car,391,F
PR31642,Oregon,F,Bachelor,452527.65,32802,114.0,1/0/00,Personal Auto,SUV,547,F
BU41599,Washington,F,Master,558176.13,62739,70.0,1/0/00,Personal Auto,Two-Door Car,239,F
TK30357,California,F,Bachelor,1413434.74,90844,118.0,1/0/00,Personal Auto,SUV,232,F
NF31087,Nevada,F,High School or Below,2472318.31,44685,69.0,1/0/00,Personal Auto,Four-Door Car,331,F
NH16984,California,F,Bachelor,283806.78,0,80.0,1/0/00,Personal Auto,Four-Door Car,336,F
OS75493,California,F,High School or Below,384848.36,42589,98.0,1/0/00,Corporate Auto,Four-Door Car,470,F
VT63298,Oregon,M,Bachelor,1950447.39,0,72.0,1/0/00,Personal Auto,Four-Door Car,345,M
QS75550,Washington,F,Bachelor,248004.59,93383,62.0,1/0/00,Corporate Auto,Two-Door Car,244,F
SZ16483,Arizona,F,High School or Below,436137.29,79583,109.0,1/2/00,Personal Auto,Four-Door Car,523,F
VM92311,Arizona,F,High School or Below,252907.75,89129,64.0,1/0/00,Personal Auto,Four-Door Car,328,F
NJ46849,Arizona,M,College,250444.48,0,69.0,1/0/00,Personal Auto,Four-Door Car,496,M
WZ31900,Oregon,F,Bachelor,864970.06,94389,107.0,1/0/00,Corporate Auto,SUV,85,F
RG30482,Oregon,F,College,1366835.53,0,197.0,1/0/00,Personal Auto,SUV,1418,F
ZM86949,Oregon,F,High School or Below,2063508.46,84106,64.0,1/0/00,Personal Auto,Two-Door Car,334,F
QQ39596,Arizona,F,College,251753.36,0,69.0,1/0/00,Personal Auto,Four-Door Car,42,F
FH51383,California,F,High School or Below,532667.77,76717,66.0,1/0/00,Personal Auto,Two-Door Car,300,F
BJ53923,Arizona,M,High School or Below,260027.21,51978,66.0,1/0/00,Corporate Auto,Four-Door Car,144,M
CZ96653,Oregon,F,Bachelor,853479.28,47325,107.0,1/0/00,Personal Auto,SUV,64,F
FB23788,Oregon,M,High School or Below,882883.5,86721,111.0,1/0/00,Corporate Auto,SUV,532,M
NT43594,Nevada,F,Bachelor,224844.96,24910,63.0,1/1/00,Personal Auto,Four-Door Car,347,F
RJ85627,Washington,F,Bachelor,1230276.24,43817,62.0,1/1/00,Personal Auto,Four-Door Car,245,F
KJ86296,Oregon,M,High School or Below,455659.3,0,73.0,1/2/00,Personal Auto,Four-Door Car,525,M
PI47776,Oregon,F,Bachelor,253070.51,89451,63.0,1/0/00,Corporate Auto,Four-Door Car,61,F
MD73554,California,M,College,525198.4,59537,66.0,1/0/00,Personal Auto,Two-Door Car,316,M
UX92071,Oregon,M,High School or Below,674311.93,0,199.0,1/0/00,Personal Auto,Luxury,955,M
YG44474,Oregon,M,College,1401472.13,54193,117.0,1/0/00,Corporate Auto,SUV,720,M
UH45301,Oregon,M,College,943891.56,86946,118.0,1/0/00,Personal Auto,Four-Door Car,340,M
RY92647,California,F,Bachelor,1050677.17,0,92.0,1/0/00,Personal Auto,Four-Door Car,546,F
IK12620,Arizona,F,High School or Below,421391.86,12160,109.0,1/0/00,Personal Auto,Four-Door Car,489,F
GQ66762,California,M,College,477368.64,33701,63.0,1/0/00,Personal Auto,Four-Door Car,171,M
YT69858,Washington,F,Bachelor,544142.01,85702,67.0,1/0/00,Personal Auto,Two-Door Car,249,F
XD85577,California,M,Bachelor,284226.69,69417,73.0,1/1/00,Personal Auto,Four-Door Car,30,M
TM65736,Oregon,M,Master,305955.03,38644,78.0,1/1/00,Personal Auto,Four-Door Car,361,M
VJ51327,California,F,High School or Below,2031499.76,63209,102.0,1/2/00,Personal Auto,SUV,207,F
GS98873,Arizona,F,Bachelor,323912.47,16061,88.0,1/0/00,Personal Auto,Four-Door Car,633,F
